country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",28-11-2025 11:00:00,26.63086,84.90051,PM10,21,118,77
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",28-11-2025 11:00:00,26.63086,84.90051,CO,40,52,43
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",28-11-2025 11:00:00,26.63086,84.90051,OZONE,2,4,2
India,Bihar,Munger,"Town Hall, Munger - BSPCB",28-11-2025 11:00:00,25.376776,86.471523,PM10,70,154,102
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",28-11-2025 11:00:00,26.11442,85.39813,NH3,5,12,9
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",28-11-2025 11:00:00,22.348441,82.549611,NO2,40,56,47
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",28-11-2025 11:00:00,22.1910172,83.5197009,PM10,52,145,87
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",28-11-2025 11:00:00,21.258815,81.578979,PM2.5,36,216,90
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",28-11-2025 11:00:00,21.194815,81.31477,CO,20,64,34
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",28-11-2025 11:00:00,21.185571,81.343175,PM2.5,32,80,53
India,Delhi,Delhi,"Narela, Delhi - DPCC",28-11-2025 11:00:00,28.822836,77.101981,OZONE,1,175,9
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28-11-2025 11:00:00,28.56789,77.250515,PM10,NA,NA,NA
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28-11-2025 11:00:00,28.56789,77.250515,NH3,15,26,20
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28-11-2025 11:00:00,28.56789,77.250515,SO2,16,65,46
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28-11-2025 11:00:00,28.56789,77.250515,CO,113,154,136
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",28-11-2025 11:00:00,28.6573814,77.1585447,PM2.5,171,454,358
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",28-11-2025 11:00:00,28.6573814,77.1585447,OZONE,15,322,28
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",28-11-2025 11:00:00,28.530785,77.271255,NO2,104,214,162
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",28-11-2025 11:00:00,28.623763,77.287209,PM2.5,270,500,393
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28-11-2025 11:00:00,28.611281,77.237738,NO2,70,203,112
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28-11-2025 11:00:00,28.611281,77.237738,SO2,20,42,27
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28-11-2025 11:00:00,28.636429,77.201067,PM10,115,421,293
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28-11-2025 11:00:00,28.636429,77.201067,SO2,3,86,47
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28-11-2025 11:00:00,28.636429,77.201067,CO,42,166,124
India,Delhi,Delhi,"Mundka, Delhi - DPCC",28-11-2025 11:00:00,28.684678,77.076574,PM10,179,490,322
India,Delhi,Delhi,"Mundka, Delhi - DPCC",28-11-2025 11:00:00,28.684678,77.076574,NO2,98,200,129
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",28-11-2025 11:00:00,21.371751,81.664929,CO,34,36,35
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",28-11-2025 11:00:00,22.06631475,83.33820077,PM10,55,381,117
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",28-11-2025 11:00:00,22.06631475,83.33820077,SO2,5,24,8
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",28-11-2025 11:00:00,22.06631475,83.33820077,OZONE,4,106,22
India,Delhi,Delhi,"Alipur, Delhi - DPCC",28-11-2025 11:00:00,28.815329,77.15301,NH3,17,21,18
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28-11-2025 11:00:00,28.5710274,77.0719006,NO2,66,196,121
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",28-11-2025 11:00:00,28.6811736,77.3025234,NO2,50,53,52
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",28-11-2025 11:00:00,28.6811736,77.3025234,CO,53,88,57
India,Delhi,Delhi,"ITO, Delhi - CPCB",28-11-2025 11:00:00,28.628624,77.24106,NH3,3,8,6
India,Delhi,Delhi,"ITO, Delhi - CPCB",28-11-2025 11:00:00,28.628624,77.24106,SO2,6,35,20
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",28-11-2025 11:00:00,28.695381,77.181665,OZONE,6,189,11
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",28-11-2025 11:00:00,28.4706914,77.1099364,PM10,217,439,365
India,Delhi,Delhi,"Bawana, Delhi - DPCC",28-11-2025 11:00:00,28.7762,77.051074,OZONE,3,178,10
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",28-11-2025 11:00:00,28.7256504,77.2011573,PM10,143,491,358
India,Delhi,Delhi,"DTU, Delhi - CPCB",28-11-2025 11:00:00,28.7500499,77.1112615,PM2.5,217,500,392
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28-11-2025 11:00:00,28.498571,77.26484,PM2.5,320,460,396
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28-11-2025 11:00:00,28.498571,77.26484,PM10,189,457,334
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28-11-2025 11:00:00,28.498571,77.26484,OZONE,7,73,11
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",28-11-2025 11:00:00,21.258815,81.578979,CO,26,48,39
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",28-11-2025 11:00:00,21.219665,81.630094,SO2,5,13,6
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",28-11-2025 11:00:00,21.237755,81.705301,CO,20,38,35
India,Delhi,Delhi,"ITO, Delhi - CPCB",28-11-2025 11:00:00,28.628624,77.24106,OZONE,10,109,11
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28-11-2025 11:00:00,28.58028,77.233829,NO2,80,235,117
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",28-11-2025 11:00:00,28.60909,77.0325413,NH3,11,55,19
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",28-11-2025 11:00:00,30.379589,76.778328,OZONE,47,53,50
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28-11-2025 11:00:00,28.6701,76.9254,NO2,12,13,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28-11-2025 11:00:00,28.6701,76.9254,SO2,7,7,7
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28-11-2025 11:00:00,28.6701,76.9254,OZONE,15,19,17
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28-11-2025 11:00:00,28.3419248,77.319699,SO2,6,12,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28-11-2025 11:00:00,28.806223,76.141105,NO2,1,36,31
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28-11-2025 11:00:00,28.806223,76.141105,NH3,1,8,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28-11-2025 11:00:00,28.806223,76.141105,SO2,12,13,12
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28-11-2025 11:00:00,28.593883,76.270653,SO2,10,11,10
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",28-11-2025 11:00:00,22.410802,73.097923,NO2,19,55,34
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",28-11-2025 11:00:00,22.410802,73.097923,SO2,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC",28-11-2025 11:00:00,21.170046,72.795405,PM2.5,27,87,50
India,Gujarat,Surat,"Science Center, Surat - SMC",28-11-2025 11:00:00,21.170046,72.795405,PM10,38,237,145
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",28-11-2025 11:00:00,20.362421,72.918013,OZONE,3,26,6
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",28-11-2025 11:00:00,22.969611,72.6435,SO2,34,43,38
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",28-11-2025 11:00:00,22.969611,72.6435,OZONE,17,45,20
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",28-11-2025 11:00:00,30.379589,76.778328,NO2,20,25,23
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",28-11-2025 11:00:00,23.023389,72.515201,CO,34,101,67
